id,airportname,nickname,area,iata_airportcode,icao_airportcode,runway,kinds,prefecture_name,cityname,address,lat,lon,officialURL
32,富山空港,富山きときと空港,北陸,TOY,RJNT,2000×45(02/20),地方管理,富山県,富山県富山市,富山県富山市秋ヶ島30,36.6465214,137.1851465,http://www.toyama-airport.co.jp/
33,小松空港,,北陸,KMQ,RJNK,2700×45(06/24),空自・共用,石川県,石川県小松市,石川県小松市浮柳町ヨ50,36.3919415,136.4053506,http://www.komatsuairport.jp/
34,能登空港,のと里山空港,北陸,NTQ,RJNW,2000×45(07/25),地方管理,石川県,石川県輪島市,石川県輪島市三井町洲衛10-11-1,37.2952139,136.9553962,http://www.noto-airport.jp/
35,松本空港,信州まつもと空港,中部,MMJ,RJAF,2000×45(18/36),地方管理,長野県,長野県松本市,長野県松本市大字空港東8909,36.1646638,137.9242264,http://www.matsumoto-airport.co.jp/
36,県営名古屋空港,小牧空港,中部,NKM,RJNA,2740×45(16/34),その他,愛知県,愛知県西春日井郡豊山町,愛知県西春日井郡豊山町大字豊場,35.2536367,136.9177708,http://www.nagoya-airport-bldg.co.jp/
37,中部国際空港,セントレア,中部,NGO,RJGG,3500×60(18/36),拠 点（会）,愛知県,愛知県常滑市,愛知県常滑市セントレア1-1,34.8573437,136.793594,http://www.centrair.jp/
38,静岡空港,富士山静岡空港,中部,FSZ,RJNS,2500×60(12/30),地方管理,静岡県,静岡県牧之原市,静岡県牧之原市坂口3336-4,34.7964746,138.1831328,http://www.mtfuji-shizuokaairport.jp/
39,大阪国際空港,伊丹空港,関西,ITM,RJOO,"(A)1828×45(14L/32R)
(B)3000×60(14R/32L)",拠 点（国）, 大阪府,大阪府豊中市,大阪府豊中市螢池西町3丁目555,34.7863123,135.4355808,http://www.osaka-airport.co.jp/
40,関西国際空港,関西空港,関西,KIX,RJBB,"(A)3500×60(06R/24L)
(B)4000×60(06L/24R)",拠 点（会）, 大阪府,大阪府泉佐野市,大阪府泉佐野市泉州空港北1,34.4320024,135.2282052,http://www.kansai-airport.or.jp/
41,神戸空港,マリンエア,関西,UKB,RJBE,2500×60(09/27),地方管理,兵庫県,兵庫県神戸市,兵庫県神戸市中央区神戸空港,34.6394848,135.2228365,http://www.kairport.co.jp/
42,但馬空港,コウノトリ但馬空港,関西,TKG,RJBT,1200×30(01/19),その他,兵庫県,兵庫県豊岡市,兵庫県豊岡市岩井字河谷1598−34,35.5132938,134.7866414,http://www.tajima-airport.jp/
43,南紀白浜空港,,関西,SHM,RJBD,2000×45(15/33),地方管理,和歌山県,和歌山県西牟婁郡白浜町,和歌山県西牟婁郡白浜町才野1622-125,33.662184,135.3583706,http://www.aikis.or.jp/~airport/
44,鳥取空港,鳥取砂丘コナン空港,中国,TTJ,RJOR,2000×45(10/28),地方管理,鳥取県,鳥取県鳥取市,鳥取県鳥取市湖山町西4−110-5,35.5265417,134.1658113,http://www.ttj-ap-bld.co.jp/
45,米子空港,米子鬼太郎空港,中国,YGJ,RJOH,2500×45(07/25),空自・共用,鳥取県,鳥取県境港市,鳥取県境港市佐斐神町1634,35.4952241,133.2381705,http://www.yonago-air.com/
46,出雲空港,出雲縁結び空港,中国,IZO,RJOC,2000×45(07/25),地方管理,島根県,島根県簸川郡斐川町,島根県出雲市斐川町 沖洲 2633−1,35.4133422,132.8855022,http://www.izumo-airport.co.jp/
47,隠岐空港,隠岐世界ジオパーク空港,中国,OKI,RJNO,2000×45(08/26),地方管理,島根県,島根県隠岐郡隠岐の島町,島根県隠岐郡隠岐の島町岬町1889-12,36.1800283,133.3224503,http://www.oki-airport.jp/
48,石見空港,萩・石見空港,中国,IWJ,RJOW,2000×45(11/29),地方管理,島根県,島根県益田市,島根県益田市内田町イ597,34.6781762,131.7945565,http://hagiiwami.jp/
49,岡山空港,岡山桃太郎空港,中国,OKJ,RJOB,3000×45(07/25),地方管理,岡山県,岡山県岡山市,岡山県岡山市北区日応寺1277,34.7575788,133.8522856,http://www.okayama-airport.org/
50,広島空港,,中国,HIJ,RJOA,3000×60(10/28),拠 点（国）,広島県,広島県三原市,広島県三原市本郷町善入寺64-31,34.436979,132.9164029,http://www.hij.airport.jp/
51,山口宇部空港,,中国,UBJ,RJDC,2500×45(07/25),拠 点（地）,山口県,山口県宇部市,山口県宇部市大字沖宇部625,33.931557,131.2743829,http://www.yamaguchiube-airport.jp/
52,岩国空港,岩国錦帯橋空港,中国,IWK,RJOI,"2440×60(02/20)
366×60(02R/20L)",米軍・供用,山口県,山口県岩国市,山口県岩国市旭町3丁目15−1,34.1587725,132.2324992,http://iwakuni-airport.jp/
53,高松空港,,四国,TAK,RJOT,2500×45(08/26),拠 点（国）,香川県,香川県高松市,香川県高松市香南町岡1312-7,34.2224481,134.0166704,http://www.takamatsu-airport.com/
54,徳島空港,徳島阿波おどり空港,四国,TKS,RJOS,2500×45(11/29),海自・共用,徳島県,徳島県板野郡松茂町,徳島県板野郡松茂町豊久朝日野16-2,34.1345023,134.6158168,http://www.tokushima-airport.co.jp/
55,松山空港,,四国,MYJ,RJOM,2500×45(14/32),拠 点（国）,愛媛県,愛媛県松山市,愛媛県松山市南吉田町2731,33.8288211,132.7019574,http://www.matsuyama-airport.co.jp/index.html
56,高知空港,高知龍馬空港,四国,KCZ,RJOK,2500×45(14/32),拠 点（国）,高知県,高知県南国市,高知県南国市久枝乙58,33.5470299,133.6706771,http://www.kochiap.co.jp/
57,北九州空港,,九州,KKJ,RJFR,2500×60(18/36),拠 点（国）,福岡県,福岡県北九州市,福岡県北九州市小倉南区空港北町6,33.8392276,131.0311486,http://www.kitakyu-air.jp/
58,福岡空港,,九州,FUK,RJFF,2800×60(16/34),拠 点（国）,福岡県,福岡県福岡市,福岡県福岡市博多区大字下臼井778-1,33.5903145,130.4445204,https://www.fukuoka-airport.jp/
59,佐賀空港,九州佐賀国際空港,九州,HSG,RJFS,2000×45(11/29),地方管理,佐賀県,佐賀県佐賀郡川副町,佐賀県佐賀市川副町大字犬井道9476-187,33.1507777,130.2996688,http://saga-ab.jp/
60,熊本空港,阿蘇くまもと空港,九州,KMJ,RJFT,3000×45(07/25),拠 点（国）,熊本県,熊本県上益城郡益城町,熊本県上益城郡益城町大字小谷1802-2,32.8369716,130.8606338,http://www.kmj-ab.co.jp/
