id,airportname,nickname,area,iata_airportcode,icao_airportcode,runway,kinds,prefecture_name,cityname,address,lat,lon,officialURL
46,____,_______,__,IZO,RJOC,2000_45(07/25),____,___,_________,,,,http://www.izumo-airport.co.jp/
47,____,,__,OKI,RJNO,2000_45(08/26),____,___,___________,,,,http://www.oki-airport.jp/
48,____,______,__,IWJ,RJOW,2000_45(11/29),____,___,______,,,,http://hagiiwami.jp/
49,____,,__,OKJ,RJOB,3000_45(07/25),____,___,______,,,,http://www.okayama-airport.org/
50,____,,__,HIJ,RJOA,3000_60(10/28),_ ____,___,______,,,,http://www.hij.airport.jp/
51,______,,__,UBJ,RJDC,2500_45(07/25),_ ____,___,______,,,,http://www.yamaguchiube-airport.jp/
52,____,_______,__,IWK,RJOI,"2440_60(02/20)
366_60(02R/20L)",_____,___,______,,,,http://iwakuni-airport.jp/
53,____,,__,TAK,RJOT,2500_45(08/26),_ ____,___,______,,,,http://www.takamatsu-airport.com/
54,____,_________,__,TKS,RJOS,2500_45(11/29),_____,___,_________,,,,http://www.tokushima-airport.co.jp/
55,____,,__,MYJ,RJOM,2500_45(14/32),_ ____,___,______,,,,http://www.matsuyama-airport.co.jp/index.html
56,____,______,__,KCZ,RJOK,2500_45(14/32),_ ____,___,______,,,,http://www.kochiap.co.jp/
57,_____,,__,KKJ,RJFR,2500_60(18/36),_ ____,___,_______,,,,http://www.kitakyu-air.jp/
58,____,,__,FUK,RJFF,2800_60(16/34),_ ____,___,______,,,,https://www.fukuoka-airport.jp/
59,____,________,__,HSG,RJFS,2000_45(11/29),____,___,_________,,,,http://saga-ab.jp/
60,____,________,__,KMJ,RJFT,3000_45(07/25),_ ____,___,__________,,,,http://www.kmj-ab.co.jp/
61,_____,____,__,AXJ,RJDA,1000_30(13/31),___,___,______,,,,http://www.pref.kumamoto.jp/soshiki/137/amakusa120323.html
62,____,,__,OIT,RJFO,3000_45(01/19),_ ____,___,______,,,,http://www.oita-airport.jp/
63,____,___________,__,KMI,RJFM,2500_45(09/27),_ ____,___,______,,,,http://www.miyazaki-airport.co.jp/
